Galaxy,Sequence Number,HI Hole Type,Classification
DDO 50,1,1,No Emission
DDO 50,2,1,No Emission
DDO 50,3,1,No Emission
DDO 50,4,3,No Emission
DDO 50,5,1,Clumpy
DDO 50,6,1,No Emission
DDO 50,7,1,No Emission
DDO 50,8,1,No Emission
DDO 50,9,1,No Emission
DDO 50,10,3,No Emission
DDO 50,11,1,No Emission
DDO 50,12,1,No Emission
DDO 50,13,3,Clumpy
DDO 50,14,1,Clumpy
DDO 50,15,1,Clumpy
DDO 50,16,1,Clumpy
DDO 50,17,1,No Emission
DDO 50,18,1,Clumpy
DDO 50,19,2,No Emission
DDO 50,20,2,No Emission
DDO 50,21,2,No Emission
DDO 50,22,1,No Emission
DDO 50,23,2,Clumpy
DDO 50,24,1,No Emission
DDO 50,25,2,No Emission
DDO 50,26,1,No Emission
DDO 50,27,1,Clumpy
DDO 50,28,1,Clumpy
DDO 50,29,2,Bubble-Like
DDO 50,30,3,No Emission
DDO 50,31,3,No Emission
DDO 50,32,3,Clumpy
DDO 50,33,3,Clumpy
DDO 50,34,1,No Emission
DDO 50,35,1,No Emission
DDO 50,36,1,No Emission
DDO 50,37,3,No Emission
DDO 50,38,1,No Emission
DDO 50,39,2,No Emission
DDO 50,40,1,No Emission
DDO 50,41,2,No Emission
