ID	Galaxy	RA	Dec	Dist	PA	N_holes
#	"h:m:s" "d:m:s" 			Mpc	deg
#-----------------------------------------------------------------------
1	CVnIdwA	12:38:40.2	+32:45:40	3.6	80.0	1
2	ddo43	07:28:17.8	+40:46:13	7.8	6.5	15
3	ddo46	07:41:26.6	+40:06:39	6.1	84.0	18
4	ddo47	07:41:55.3	+16:48:08	5.2	-70.0	19
5	ddo50	08:19:08.7	+70:43:25	3.4	18.0	41
6	ddo52	08:28:28.5	+41:51:21	10.3	5.0	17
7	ddo53	08:34:08.0	+66:10:37	3.6	81.0	7
8	ddo63	09:40:30.4	+71:11:02	3.9	0.0	7
9	ddo69	09:59:25.0	+30:44:42	0.8	-64.0	4
10	ddo70	10:00:00.9	+05:19:50	1.3	88.0	9
11	ddo75	10:10:59.2	-04:41:56	1.3	41.0	4
12	ddo87	10:49:34.7	+65:31:46	7.7	76.5	18
13	ddo101	11:55:39.4	+31:31:08	6.4	-69.0	2
14	ddo126	12:27:06.5	+37:08:23	4.9	-41.0	4
15	ddo133	12:32:55.4	+31:32:14	3.5	-6.0	5
16	ddo154	12:54:06.2	+27:09:02	3.7	46.0	9
17	ddo155	12:58:39.8	+14:13:10	2.2	51.0	3
18	ddo165	13:06:25.3	+67:42:25	4.6	89.0	3
19	ddo167	13:13:22.9	+46:19:11	4.2	-23.0	3
20	ddo168	13:14:27.2	+45:55:46	4.3	-24.5	2
21	ddo187	14:15:56.7	+23:03:19	2.2	37.0	3
22	ddo210	20:46:52.0	-12:50:50	0.9	-85.0	1
23	ddo216	23:28:35.0	+14:44:30	1.1	-58.0	3
24	F564-V3	09:02:53.9	+20:04:29	8.7	7.0	8
25	Haro29	12:26:16.7	+48:29:38	5.8	85.0	2
26	Haro36	12:46:56.3	+51:36:48	9.3	2.0	1
27	ic10	00:20:21.9	+59:17:39	0.7	-38.0	20
28	ic1613	01:04:49.2	+02:07:48	0.7	71.0	11
29	lgs3	01:03:55.2	+21:52:39	0.7	-3.5	7
30	M81dwA	08:23:57.2	+71:01:51	3.5	86.0	10
31	Mrk178	11:33:29.0	+49:14:24	3.9	-50.0	1
32	ngc1569	04:30:49.8	+64:50:51	3.4	-59.0	5
33	ngc2366	07:28:48.8	+69:12:22	3.4	32.5	11
34	ngc3738	11:35:49.0	+54:31:23	4.9	0.0	3
35	ngc4214	12:15:39.2	+36:19:38	3.0	16.0	21
36	SagDIG	19:30:00.6	-17:40:56	1.1	87.5	1
37	ugc8508	13:30:44.9	+54:54:29	2.6	-60.0	3
38	WLM	00:01:59.2	-15:27:41	1.0	-2.0	4
