Galaxy,Sequence Number,HI Hole Type,Classification,?,
IC10,1,3,No Emission,,No Coverage
IC10,2,2,Clumpy,,No Emission
IC10,5,1,No Emission,,Diffuse
IC10,6,1,Clumpy,,Clumpy
IC10,7,1,Diffuse,,Bubble-Like
IC10,8,1,No Emission,,Unclear
IC10,9,2,Diffuse,Clumpy,
IC10,10,1,Bubble-Like,,
IC10,11,1,Diffuse,Clumpy,
IC10,12,1,Clumpy,,
IC10,13,2,No Emission,,
IC10,14,1,No Emission,,
IC10,15,1,Clumpy,,
IC10,16,1,No Emission,,
IC10,17,1,Clumpy,,
IC10,18,2,No Emission,,
IC10,19,1,No Emission,,
IC10,20,2,No Emission,,
WLM,1,1,Bubble-Like,,
WLM,2,1,Clumpy,,
WLM,3,1,Diffuse,,
WLM,4,1,No Coverage,,
NGC4214,1,3,No Coverage,,
NGC4214,2,1,No Coverage,,
NGC4214,3,1,No Coverage,,
NGC4214,4,2,No Emission,,
NGC4214,5,1,No Emission,,
NGC4214,6,1,No Coverage,,
NGC4214,7,1,Clumpy,,
NGC4214,8,1,No Coverage,,
NGC4214,9,1,Clumpy,Diffuse,
NGC4214,10,1,Clumpy,,
NGC4214,11,3,Clumpy,,
NGC4214,12,1,Clumpy,,
NGC4214,13,2,No Emission,,
NGC4214,14,1,No Emission,,
NGC4214,15,1,No Emission,,
NGC4214,16,1,No Coverage,,
NGC4214,17,2,No Emission,,
NGC4214,18,2,No Coverage,,
NGC4214,19,1,No Coverage,,
NGC4214,20,1,No Coverage,,
NGC4214,21,1,No Coverage,,
UGC 8508,1,3,Clumpy,,
UGC 8508,2,3,Diffuse,,
UGC 8508,3,1,Bubble-Like,,
DDO 50,1,1,Clumpy,,
DDO 50,2,1,Clumpy,,
DDO 50,3,1,Clumpy,,
DDO 50,4,3,Clumpy,,
DDO 50,5,1,No Emission,,
DDO 50,6,1,No Emission,,
DDO 50,7,1,No Emission,,
DDO 50,8,1,No Emission,,
DDO 50,9,1,No Emission,,
DDO 50,10,3,Clumpy,,
DDO 50,11,1,Clumpy,,
DDO 50,12,1,Clumpy,,
DDO 50,13,3,Bubble-Like,,
DDO 50,14,1,Clumpy,,
DDO 50,15,1,No Emission,,
DDO 50,16,1,Clumpy,,
DDO 50,17,1,No Emission,,
DDO 50,18,1,Clumpy,,
DDO 50,19,2,Clumpy,,
DDO 50,20,2,Diffuse,,
DDO 50,21,2,Clumpy,,
DDO 50,22,1,Clumpy,,
DDO 50,23,2,Diffuse,,
DDO 50,24,1,No Emission,,
DDO 50,25,2,No Emission,,
DDO 50,26,1,No Coverage,,
DDO 50,27,1,No Coverage,,
DDO 50,28,1,Diffuse,,
DDO 50,29,2,Bubble-Like,,
DDO 50,30,3,No Emission,,
DDO 50,31,3,No Emission,,
DDO 50,32,3,No Emission,,
DDO 50,33,3,No Emission,,
DDO 50,34,1,No Emission,,
DDO 50,35,1,No Emission,,
DDO 50,36,1,No Emission,,
DDO 50,37,3,No Emission,,
DDO 50,38,1,No Emission,,
DDO 50,39,2,No Emission,,
DDO 50,40,1,No Emission,,
DDO 50,41,2,No Emission,,
DDO 53,1,3,No Emission,,
DDO 53,2,3,Bubble-Like,,
DDO 53,3,3,No Emission,,
DDO 53,4,3,No Emission,,
DDO 53,5,3,No Emission,,
DDO 53,6,1,Bubble-Like,,
DDO 53,7,3,No Emission,,
